Category,Country,Region,Producer,Wine,Vintage,Volume,Price,ArtCode
Sparkling,France,Champagne,Billecart-Salmon,"Brut ""Réserve""",,0.75,165,3081
Sparkling,France,Champagne,Billecart-Salmon,"""Le Blanc de Blancs"" Extra Brut",,0.75,235,3082
Sparkling,France,Champagne,Billecart-Salmon,Billecart-Salmon Brut Rosé,,0.75,265,3064
Sparkling,France,Champagne,Billecart-Salmon,"""Cuvée Louis Salmon"" Brut Blancs de Blancs",2012,0.75,430,3084
Sparkling,France,Champagne,Billecart-Salmon,Elisabeth Salmon Brut Rose,2013,0.75,500,3083
Sparkling,France,Champagne,Bollinger,Special Cuvée,,0.75,220,3021
Sparkling,France,Champagne,Bruno Paillard,Première Cuvée Extra-Brut,,0.75,175,3030
Sparkling,France,Champagne,Bruno Paillard,"""Blanc des Blancs"" Grand Cru",,0.75,260,3062
Sparkling,France,Champagne,Bruno Paillard,NPU Nec Plus Ultra,2009,0.75,615,8787
Sparkling,France,Champagne,Dom Pérignon,Dom Pérignon,2013,0.75,500,3008
Sparkling,France,Champagne,Dom Pérignon,Rosé,2008,0.75,750,3011
Sparkling,France,Champagne,Dom Pérignon,Dom Pérignon - MAGNUM,2010,1.5,1250,3009
Sparkling,France,Champagne,Dom Pérignon,Plénitude P3,1993,0.75,6370,8568
Sparkling,France,Champagne,Dom Ruinart,Dom Ruinart Rosé,2009,0.75,585,8566
Sparkling,France,Champagne,G.H. Mumm,Cuvée R. Lalou Prestige Brut,1999,0.75,450,3027
Sparkling,France,Champagne,Gosset,Grand Réserve Brut,,0.75,165,8788
Sparkling,France,Champagne,Gosset,Grand Rosé Brut,,0.75,175,3054
Sparkling,France,Champagne,Gosset,Grand Blanc de Blancs Brut,,0.75,205,8789
Sparkling,France,Champagne,Gosset,Celebris Brut,2008,0.75,395,8790
Sparkling,France,Champagne,Jacquesson,Cuvee N° 747,,0.75,235,8569
Sparkling,France,Champagne,Jacquesson,Cuvée N° 747 - MAGNUM,,1.5,435,8570
Sparkling,France,Champagne,Krug,"""Grande Cuvée” - Brut - HALF bt.",,0.375,290,3014
Sparkling,France,Champagne,Krug,"""Grande Cuvée"" - Brut 172ème Édition",,0.75,480,3024
Sparkling,France,Champagne,Krug,Brut Rosé - 27ème Édition,,0.75,720,3026
Sparkling,France,Champagne,Krug,"""Grande Cuvée"" - Brut 169ème édition - MAGNUM",,0.75,1050,3037
Sparkling,France,Champagne,Krug,Clos d'Ambonnay,2006,0.75,5640,8567
Sparkling,France,Champagne,Laurent-Perrier,"""La Cuvée"" Brut",,0.75,180,3048
Sparkling,France,Champagne,Laurent-Perrier,Cuvée Rosé Brut,,0.75,260,3049
Sparkling,France,Champagne,Laurent-Perrier,"""La Cuvée"" Brut - MAGNUM",,1.5,360,3031
Sparkling,France,Champagne,Laurent-Perrier,“Grand Siècle” Itération N°26 Brut,,0.75,380,3050
Sparkling,France,Champagne,Laurent-Perrier,Cuvée Rosé Brut - MAGNUM,,1.5,520,3028
Sparkling,France,Champagne,Louis Roederer,Cristal,2009,0.75,670,3036
Sparkling,France,Champagne,Louis Roederer,Cristal Rosé,2008,0.75,1100,3053
Sparkling,France,Champagne,Louis Roederer,Cristal - MAGNUM,2007,1.5,1650,3038
Sparkling,France,Champagne,Moët & Chandon,Grand Vintage,2015,0.75,210,3003
Sparkling,France,Champagne,Moët & Chandon,Rosé Grand Vintage,2013,0.75,250,3007
Sparkling,France,Champagne,Moët & Chandon,Grand Vintage - MAGNUM,2006,1.5,440,3061
Sparkling,France,Champagne,Perrier-Jouët,Grand Brut,,0.75,200,3058
Sparkling,France,Champagne,Perrier-Jouët,Blason Rosé - Brut,,0.75,220,3029
Sparkling,France,Champagne,Perrier-Jouët,Blanc de Blancs - Brut,,0.75,260,3071
Sparkling,France,Champagne,Perrier-Jouët,Belle Époque,2014,0.75,480,3020
Sparkling,France,Champagne,Perrier-Jouët,Belle Époque Rosé,2006,0.75,490,3057
Sparkling,France,Champagne,Perrier-Jouët,Belle Époque Brut - MAGNUM,2007,1.5,880,3041
Sparkling,France,Champagne,Ruinart,Brut Rosé - HALF bt.,,0.375,115,3065
Sparkling,France,Champagne,Ruinart,"""R"" de Ruinart Brut",,0.75,170,3010
Sparkling,France,Champagne,Ruinart,Rosé,,0.75,210,3066
Sparkling,France,Champagne,Ruinart,Blanc de Blancs,,0.75,220,3005
Sparkling,France,Champagne,Ruinart,"""R"" de Ruinart Brut - MAGNUM",,1.5,380,3033
Sparkling,France,Champagne,Ruinart,Blanc de Blancs - MAGNUM,,1.5,450,3039
Sparkling,France,Champagne,Ruinart,Brut Rosé - MAGNUM,,1.5,450,3059
Sparkling,France,Champagne,Salon,Cuvée 'S' Le Mesnil - Blanc de Blancs - Brut,2015,0.75,2380,8565
Sparkling,France,Champagne,Ulysse Collin,"""Les Maillons"" Blanc de Noirs Extra Brut - 48 mois sur lie, dégorgement 2025",2020,0.75,495,8791
Sparkling,France,Champagne,Ulysse Collin,"""Les Pierrieres"" Blanc de Blancs Extra Brut - 24 mois sur lit, dégorgement 2025",2020,0.75,560,8792
Sparkling,France,Champagne,Ulysse Collin,"""Les Enfers"" Blanc de Blancs Extra Brut - 72 mois sur lit, dégorgement 2025",2017,0.75,755,8794
Sparkling,France,Champagne,Veuve Clicquot,“Carte Jaune” - Brut,,0.75,160,3006
Sparkling,France,Champagne,Veuve Clicquot,“Carte Jaune” - Brut,,1.5,325,3015
Sparkling,France,Champagne,Veuve Clicquot,La Grande Dame Rosé,1998,0.75,620,3017
Sparkling,Italy,Lombardy,Bellavista,Alma Assemblage 2 Brut - Franciacorta DOCG,,0.75,135,3046
Sparkling,Italy,Lombardy,Ca' Del Bosco,Cuvée Prestige - 46ème Edition Extra-Brut,,0.75,135,3067
Sparkling,Italy,Lombardy,Ca' Del Bosco,Annamaria Clementi Riserva Dos. Zéro - Franciacorta DOCG,2016,0.75,365,8571
Sparkling,Italy,Veneto,Antica Quercia,"""Matiú"" - Conegliano Valdobbiadene Prosecco Superiore DOCG Brut",,0.75,105,9135
Sparkling,Italy,Veneto,Sommariva,Prosecco Superiore Conegliano Valdobbiadene Brut DOCG,,0.75,80,7969
Sparkling,Italy,Trentino Alto Adige,Ferrari,Maximum Blanc de Blancs - Trento DOC,,0.75,130,3043
Sparkling,Switzerland,Graubunden,Obrecht,Extra Brut Rosé,,0.75,130,8572
Sparkling,Switzerland,Graubunden,Obrecht,Brut Nature Blanc,,0.75,160,8573
Sparkling,England,Sussex,Nyetimber Limited,Nyetimber Classic Cuvée,,0.75,160,3068
Sparkling,England,Sussex,Nyetimber Limited,Rosé,,0.75,195,3072
White wine,Switzerland,Graubunden,Andrea Lauber,Freisamer,2019,0.75,95,1216
White wine,Switzerland,Graubunden,Christian Hermann,Chardonnay - HALF bt.,2024,0.375,75,4202
White wine,Switzerland,Graubunden,Christian Hermann,Chardonnay,2024,0.75,90,1217
White wine,Switzerland,Graubunden,Christian Hermann,Riesling,2023,0.75,90,1206
White wine,Switzerland,Graubunden,Christian Hermann,Chardonnay - MAGNUM,2022,1.5,285,6202
White wine,Switzerland,Graubunden,Donatsch,"Chardonnay ""Passion""",2024,0.75,185,1245
White wine,Switzerland,Graubunden,Donatsch,"Completer ""Malanserrebe""",2024,0.75,265,1211
White wine,Switzerland,Graubunden,Donatsch,"""Unique"" Chardonnay Malans",2020,0.75,320,1240
White wine,Switzerland,Graubunden,Donatsch,"""Unique"" Chardonnay Malans",2016,0.75,335,8798
White wine,Switzerland,Graubunden,Eichholz,Chardonnay,2019,0.75,160,1243
White wine,Switzerland,Graubunden,Fromm,Malanser Pinot Blanc,2024,0.75,120,8800
White wine,Switzerland,Graubunden,Gantenbein,Chardonnay,2023,0.75,380,8796
White wine,Switzerland,Graubunden,Gantenbein,Chardonnay,2016,0.75,380,1213
White wine,Switzerland,Graubunden,Georg Schlegel,Riesling Sylvaner,2024,0.75,65,1204
White wine,Switzerland,Graubunden,Georg Schlegel,Pinot Gris,2024,0.75,95,1226
White wine,Switzerland,Graubunden,Liesch,Chardonnay - Malanser,2021,0.75,100,1227
White wine,Switzerland,Graubunden,Möhr-Niggli Weingut,Viognier,2021,0.75,135,1239
White wine,Switzerland,Graubunden,Thürer Weine,Riesling-Silvaner,2024,0.75,120,1255
White wine,Switzerland,Graubunden,Thürer Weine,Fumé Blanc,2025,0.75,155,1256
White wine,Switzerland,Graubunden,Wegelin,Scadena - Weissburgunder,2023,0.75,145,8801
White wine,Switzerland,Graubunden,Wegelin,Bothmarhalde - Chardonnay,2023,0.75,155,8802
White wine,Switzerland,Graubunden,Wegelin,Frassa - Chardonnay,2023,0.75,240,8803
White wine,Switzerland,Graubunden,Weingut Obrecht,Riesling – Silvaner Schiefer,2024,0.75,80,1224
White wine,Switzerland,Graubunden,Weingut Obrecht,Chardonnay,2019,0.75,150,1222
White wine,Switzerland,Thurgau,Weingut Lenz,Cuvée 1844 Grüner Veltliner,2018,0.75,95,1249
White wine,Switzerland,Ticino,Castello Luigi,Chardonnay,2018,0.75,290,1229
White wine,Switzerland,Ticino,Castello di Morcote,Bianco - Merlot-Chardonnay,2021,0.75,150,1215
White wine,Switzerland,Ticino,Guido Brivio,Bianco Rovere - Merlot Ticino DOC,2024,0.75,120,1218
White wine,Switzerland,Ticino,Guido Brivio,Bianco Rovere - Merlot Ticino DOC - MAGNUM,2022,1.5,250,6201
White wine,Switzerland,Neuchatel,Domaine Ruedin by Jacques Tatasciore,Chasselas,2022,0.75,65,1244
White wine,Switzerland,Neuchatel,Domaine Ruedin by Jacques Tatasciore,"Chasselas  ""Les Chaux""",2022,0.75,90,1233
White wine,Switzerland,Vaud,Domaine Blaise Duboux,Dézaley Haut de Pierre Vieilles Vignes Grand Cru,2022,0.75,135,8809
White wine,Switzerland,Vaud,Domaine la Colombe,Féchy La Colombe,2021,0.75,50,8808
White wine,Switzerland,Vaud,H. Badoux,"Aigle ""les Murailles"" - Vin Chablais AOC",2023,0.7,70,1209
White wine,Switzerland,Vaud,H. Badoux,"Aigle ""les Murailles"" - Vin Chablais AOC",2022,1.5,150,6203
White wine,Switzerland,Valais,Histoire D’Enfer,Petite Arvine Réserve,2019,0.75,170,1232
White wine,Switzerland,Valais,Historie d'Enfer,Humagne Blanche Réserve,2023,0.75,140,8804
White wine,Switzerland,Valais,Historie d'Enfer,Petite Arvine Réserve Vieilles Vignes,2022,0.75,160,8805
White wine,Switzerland,Valais,Jean-René Germanier,"""Clos de la Couta"" Heida",2016,0.75,100,1228
White wine,Switzerland,Valais,Marie-Thérèse Chappaz,Grain Arvine de Fully,2022,0.75,200,8807
White wine,Switzerland,Valais,Marie-Thérèse Chappaz,Assemblage Blanc,2023,0.75,215,8806
White wine,Switzerland,Valais,Provins Valais Mundi,Eclat,2015,0.75,219,1238
White wine,Austria,Niederösterreich,Weingut Bruendlmayer,Grüner Veltliner Lamm 1. Lage ÖTW 2022 - Kamptal Reserve,2022,0.75,190,8878
White wine,Austria,Niederösterreich,Weingut Franz Hirtzberger,Weißburgunder Smaragd Steinporz,2023,0.75,235,8610
White wine,Austria,Niederösterreich,Weingut Franz Hirtzberger,Grüner Veltliner Smaragd Honivogl,2023,0.75,370,8611
White wine,Austria,Niederösterreich,Weingut Knoll,“Loibner” - Smaragd Grüner Veltliner - MAGNUM,2011,1.5,420,6801
